,data,dia_semana,feriado,festas,feriado - dia anterior,feriado - 2 dias anteriores,feriado - dia seguinte,feriado - daqui a 2 dias,festas - dia anterior,festas - 2 dias anteriores,festas - dia seguinte,festas - daqui a 2 dias
589,2019-08-13,Tuesday,,,,,,Assuncao de Nossa Senhora,,,,
590,2019-08-14,Wednesday,,,,,Assuncao de Nossa Senhora,,,,,
591,2019-08-15,Thursday,Assuncao de Nossa Senhora,,,,,,,,,
592,2019-08-16,Friday,,,Assuncao de Nossa Senhora,,,,,,,
593,2019-08-17,Saturday,,,,Assuncao de Nossa Senhora,,,,,,
594,2019-08-18,Sunday,,,,,,,,,,
595,2019-08-19,Monday,,,,,,,,,,
596,2019-08-20,Tuesday,,,,,,,,,,
597,2019-08-21,Wednesday,,,,,,,,,,Agrival
598,2019-08-22,Thursday,,,,,,,,,Agrival,Festas SBartolomeu
599,2019-08-23,Friday,,Agrival,,,,,,,Festas SBartolomeu,Agrival
600,2019-08-24,Saturday,,Festas SBartolomeu,,,,,Agrival,,Agrival,Agrival
601,2019-08-25,Sunday,,Agrival,,,,,Festas SBartolomeu,Agrival,Agrival,Agrival
602,2019-08-26,Monday,,Agrival,,,,,Agrival,Festas SBartolomeu,Agrival,Agrival
603,2019-08-27,Tuesday,,Agrival,,,,,Agrival,Agrival,Agrival,Agrival
604,2019-08-28,Wednesday,,Agrival,,,,,Agrival,Agrival,Agrival,Agrival
605,2019-08-29,Thursday,,Agrival,,,,,Agrival,Agrival,Agrival,Agrival
606,2019-08-30,Friday,,Agrival,,,,,Agrival,Agrival,Agrival,Agrival
607,2019-08-31,Saturday,,Agrival,,,,,Agrival,Agrival,Agrival,
608,2019-09-01,Sunday,,Agrival,,,,,Agrival,Agrival,,
609,2019-09-02,Monday,,,,,,,Agrival,Agrival,,
610,2019-09-03,Tuesday,,,,,,,,Agrival,,
611,2019-09-04,Wednesday,,,,,,,,,,
612,2019-09-05,Thursday,,,,,,,,,,
613,2019-09-06,Friday,,,,,,,,,,
614,2019-09-07,Saturday,,,,,,,,,,
615,2019-09-08,Sunday,,,,,,,,,,
616,2019-09-09,Monday,,,,,,,,,,
617,2019-09-10,Tuesday,,,,,,,,,,
618,2019-09-11,Wednesday,,,,,,,,,,
619,2019-09-12,Thursday,,,,,,,,,,
620,2019-09-13,Friday,,,,,,,,,,
